Neighborhood,Year,Median Rent,Median Income,RTI (%)
Woodhaven,2010,1366.46895,69357.40109,23.6422171856209
Jamaica/St. Albans,2010,1206.27899,60395.25791,23.96768948577208
Howard Beach,2010,1389.5266,68330.72903,24.402372748985723
The Rockaways,2010,1064.29243,58158.66619,21.959769707022573
Bronx,2010,1044.87546,39523.23346,31.724392015369276
Brooklyn,2010,1186.86202,51143.07381,27.84804115003193
Manhattan,2010,1467.19446,77463.98422,22.728412045005967
Queens,2010,1379.81812,64384.23078,25.717193852292535
Staten Island,2010,1231.76375,85628.81825,17.26190469760454
New York City,2010,1240.25868,59152.57211,25.160535931258256
Riverdale,2011,1234.2621,65039.47657,22.772546737917267
Williamsbridge,2011,1169.36304,51017.73996,27.50485711637156
Throgs Neck,2011,1159.92317,63053.56538,22.07500552286771
Pelham Parkway,2011,1167.00307,48078.4026,29.127500255176948
Morrisania,2011,879.08725,26396.21711,39.96423789075283
East Tremont,2011,879.08725,26396.21711,39.96423789075283
Bedford Park,2011,1120.98374,36161.75546,37.19898193238874
University Heights,2011,986.46569,30621.73582,38.65746981027935
Concourse/Highbridge,2011,998.26552,26961.42891,44.43082849943802
Unionport/Soundview,2011,1119.80376,42282.32667,31.78076084808793
Mott Haven,2011,776.42874,24951.91806,37.34039546617524
Hunts Point,2011,776.42874,24951.91806,37.34039546617524
Washington Heights,2011,1129.24362,44344.93675,30.557994741079426
Manhattanville,2011,1129.24362,46592.80415,29.083725882594248
Central Harlem,2011,897.96697,41712.39494,25.83309746539334
East Harlem,2011,857.84756,36461.47111,28.233009822735045
Upper East Side,2011,2147.56885,124154.25908,20.75710200436565
Upper West Side,2011,2083.84977,108747.22257,22.994791636083985
Chelsea/Clinton,2011,2073.22993,97973.97884,25.393231401400136
Midtown Business District,2011,2073.22993,97973.97884,25.393231401400136
Murray Hill/Stuyvesant,2011,2330.4662,119824.90188,23.33871671182878
Lower East Side,2011,968.76595,46210.48969,25.157040052998408
Battery Park/Tribeca,2011,2359.96577,141439.82835,20.022358320403036
Greenwich Village,2011,2359.96577,141439.82835,20.022358320403036
Tottenville,2011,1216.56235,95958.56807,15.21359529807748
South Beach,2011,1152.84328,83847.22375,16.49919787594637
St. George,2011,1161.10316,63962.1522,21.78356643852894
Williamsburg/Greenpoint,2011,1336.92061,55462.73549,28.925813301964848
Bushwick,2011,1222.46227,40286.97562,36.41262967557554
Bedford Stuyvesant,2011,966.40598,38153.56656,30.395249528672114
Fort Greene/Brooklyn Hts,2011,1523.3579,73212.03802,24.968974084570906
Park Slope,2011,1931.63198,103004.24587,22.503522611344177
Crown Heights North,2011,1123.34371,47802.2866,28.199748335888188
Brownsville,2011,873.18733,30403.43898,34.464022201214824
East New York,2011,1151.66329,35230.74896,39.22698179278219
Canarsie,2011,1268.4816,70345.8596,21.63848631114034
East Flatbush,2011,1165.82309,52661.45612,26.565686007848278
Crown Heights South,2011,1105.64396,44185.63907,30.02723916469995
Sunset Park,2011,1233.08211,50201.19181,29.47536659289524
Bay Ridge,2011,1322.76081,66717.41223,23.791584819386213
Borough Park,2011,1267.30162,40560.73165,37.49345443575103
Flatbush/Midwood,2011,1228.36218,47753.90731,30.867309065018162
Sheepshead Bay,2011,1185.8828,56178.9851,25.3308128914561
Bensonhurst,2011,1207.12249,52466.75894,27.60885210494003
Coney Island,2011,982.92574,33164.59893,35.56535963210577
Astoria,2011,1393.55979,55124.0804,30.336501504703563
Jackson Heights,2011,1331.02069,55009.62206,29.035371780192882
Flushing,2011,1417.15944,58562.55052,29.038887700412268
Bayside,2011,1722.77501,90891.72157,22.74497584917953
Queens Village,2011,1545.77758,88927.05007,20.859042265990684
Fresh Meadows/Briarwood,2011,1345.18049,62822.28873,25.69496623941291
Elmhurst/Corona,2011,1366.42018,53855.5988,30.446309251694736
Rego Park/Forest Hills,2011,1538.69768,77763.23201,23.74434765986265
Sunnyside/Woodside,2011,1434.85919,59123.04239,29.122842100074813
Ridgewood/Glendale,2011,1328.66073,61849.98284,25.77838833237096
Woodhaven,2011,1385.29991,64727.96109,25.6822532952737
Jamaica/St. Albans,2011,1231.90213,59023.92383,25.045480884289084
Howard Beach,2011,1354.62035,69071.47808,23.53423533397187
The Rockaways,2011,1089.1242,49871.97658,26.20608064137008
Bronx,2011,1056.08468,37827.89129,33.501777994561856
Brooklyn,2011,1203.58254,50446.62825,28.630239484836135
Manhattan,2011,1539.87766,78231.68521,23.620265715096693
Queens,2011,1371.14011,63214.04305,26.02852234429261
Staten Island,2011,1169.36304,83280.83197,16.84944320087344
New York City,2011,1254.32181,58363.13341,25.790016471975434
Riverdale,2012,1237.08136,63599.17444,23.341460719753325
Williamsbridge,2012,1187.32037,47888.58832,29.75206607635495
Throgs Neck,2012,1094.74179,59404.20724,22.11442941562265
Pelham Parkway,2012,1187.32037,49347.85829,28.872265045973084
Morrisania,2012,867.92425,23823.942,43.71690881383106
East Tremont,2012,867.92425,23823.942,43.71690881383106
Bedford Park,2012,1106.31411,35325.67413,37.58107848457357
University Heights,2012,1046.13803,24991.58942,50.23152449020988
Concourse/Highbridge,2012,1004.47766,31193.19748,38.642181288816055
Unionport/Soundview,2012,1082.01223,39092.46537,33.21393684718637
Mott Haven,2012,777.66013,22128.59663,42.17132119146048
Hunts Point,2012,777.66013,22128.59663,42.17132119146048
Washington Heights,2012,1105.15688,41964.71602,31.602459918183428
Manhattanville,2012,1156.0751,46764.91572,29.665190210247644
Central Harlem,2012,943.14435,42633.5963,26.546510691616227
East Harlem,2012,961.66007,35892.71798,32.151147891419726
Upper East Side,2012,2165.18169,114942.10127,22.604580908928774
Upper West Side,2012,1843.4711,106254.75816,20.81944713166528
Chelsea/Clinton,2012,2265.8609,99841.37658,27.233529555968396
Midtown Business District,2012,2265.8609,99841.37658,27.233529555968396
Murray Hill/Stuyvesant,2012,2301.73511,106962.98435,25.822784852019698
Lower East Side,2012,1144.50278,47245.16714,29.06971059982158
Battery Park/Tribeca,2012,2314.46466,119049.11881,23.329509867541372
Greenwich Village,2012,2314.46466,119049.11881,23.329509867541372
Tottenville,2012,1240.55306,94964.79954,15.675952344562806
South Beach,2012,1099.37071,82507.1935,15.989452507556203
